"","place","africa_id","asia_id","europe_id","is_place"
"1","Rome","","7002473","7255440; 7637889; 7503852; 7544541; 7544539; 7007187; 7003138; 7755359; 7255441; 7255442; 7000874; 7268302; 7755344; 7614693; 7605563; 7605564; 7605562; 7605561; 7605560",1
"2","Jerusalem","","7000245; 1000953; 7001371","7644394; 7243972; 7151289; 7151287; 7151288; 7749616; 7155356; 1100643",1
"3","Alexandria","7001188; 1092814; 7521934; 1001079","7544786; 6000180; 7002333; 7025859; 7002272; 7695748; 7002241; 7002256; 6000173; 7002243; 7002326; 7718297; 7017450; 7002248; 7012244; 6004242; 1083844","7005125; 7233761; 1050005; 1050367",1
"4","Antioch","","7002315; 7002354; 7002351; 4000727; 7025859; 7002491; 7002404; 7002594; 7012244; 7002605; 7002497; 4005133; 7002623; 1060267","",1
"5","Alexandria","7001188; 1092814; 7521934; 1001079","7544786; 6000180; 7002333; 7025859; 7002272; 7695748; 7002241; 7002256; 6000173; 7002243; 7002326; 7718297; 7017450; 7002248; 7012244; 6004242; 1083844","7005125; 7233761; 1050005; 1050367",1
"6","Thmouis","","","",0
"7","Nicomedia","","7002376","",1
"8","Tyre","","7002862; 7594303","",1
"9","Emesa","","7002264","1123743",1
"10","Gaza","1000855; 8711748; 7531513","7926160; 7001391; 7910115; 8478568; 8058334; 7001390; 7966564","",1
"11","Byzantium","","7002473","",1
"12","Amaseia","","7002337","",1
"13","Cordova","","","7002817; 7753497; 7007513; 7748993; 1062640",1
"14","Rome","","7002473","7255440; 7637889; 7503852; 7544541; 7544539; 7007187; 7003138; 7755359; 7255441; 7255442; 7000874; 7268302; 7755344; 7614693; 7605563; 7605564; 7605562; 7605561; 7605560",1
"15","Beroia","","","7010735",1
"16","Jerusalem","","7000245; 1000953; 7001371","7644394; 7243972; 7151289; 7151287; 7151288; 7749616; 7155356; 1100643",1
"17","Constantinople","","1001052; 7002473; 8711787","",1
"18","Seleukeia","","1001051; 7705791; 7017540; 6005333","",1
"19","Constantinople","","1001052; 7002473; 8711787","",1
"20","Nisibis","","7002605; 7705714","",1
"21","Skythopolis","","7001403","",1
"22","Herakleia","","7682482","7008299; 7008300; 4004955",1
"23","Kyzikos","","1086119; 7002394","",1
"24","Kyzikos","","1086119; 7002394","",1
"25","Caesarea","7001266","7002346; 7002351; 7016212; 7002465; 7018751; 7001363; 7701210","7007511; 7005254; 7008813",1
"26","Edessa","","1001586; 7002497","1041944",1
"27","Tarsos","","7002623; 7703355","7236059; 7232833; 7220027",1
"28","Samosata","","7030346","",1
"29","Apameia","","7002255; 7017535","",1
"30","Antioch","","7002315; 7002354; 7002351; 4000727; 7025859; 7002491; 7002404; 7002594; 7012244; 7002605; 7002497; 4005133; 7002623; 1060267","",1
"31","Eleutheropolis","","7001375","",1
"32","Mesopotamia","","7001554","7235469; 7222823; 7222822; 7222821",1
"33","Dorylaion","","7002496","",1
"34","Mopsuestia","","5004380; 7731977; 7002634","",1
"35","Smyrna","","7002543; 7716858; 1112534","",1
"36","Apameia","","7002255; 7017535","",1
"37","Hierapolis","","5004381; 7016835; 7683582","",1
"38","Caria","","8475558; 7002358; 7681511","7049817; 7741269; 7741267; 7741268; 7741266; 7749815",1
"39","Thessalonica","","","7011182",1
"40","Halikarnassos","","7016142","",1
"41","Rhodes","1093557; 1101814; 1101815; 1103040; 1100632","","7003743; 7003752; 7614728; 7011266; 7011265; 1030425; 7255140; 7225088",1
"42","Diospolis","7534795; 7001297","7739546; 7002492; 7706210","",1
"43","Trebizond","","1001576; 7002631","",1
"44","Alexandra","1092813","8042651; 7544786; 7544784; 7997327","7233763; 7898073; 7896123; 7878690; 7464111; 7464110; 1102675",1
"45","Melitene","","1086264","",1
"46","Melitene","","1086264","",1
"47","Phasis","","7012263","",1
"48","Pharan","7535888","7936653","",1
"49","Emesa","","7002264","1123743",1
"50","Crete","","","7668142; 7665176; 7662884; 7660641; 7660246; 7654061; 7651360; 7654294; 7655724; 7656336; 8710764; 7012056; 8698751; 8698482; 8701580; 8698479; 7036305; 3000668; 7036286; 8707947; 7651359; 8709233; 8709234; 7652569; 7048757; 7652230; 7648164; 8699483; 7649970; 7649751; 7650481; 7645042; 7646799; 7646859; 7647092; 7644664; 7230421; 7230420; 8699941; 8711182; 7629814; 7626131; 7619113; 7620288; 7616491; 7617315; 7616933; 7054578; 7326372; 7614307; 7614903; 7615609; 7610175; 7612657; 7605150; 7605219; 7606581; 8701814; 7601535; 7599127",1
"51","Nakoleia","","","",0
"52","Syllaion","","","",0
"53","Epiphaneia","","","",0
"54","Sinope","","7002620; 7701854","7606644",1
"55","Tyre","","7002862; 7594303","",1
"56","Byzakion","","","",0
"57","Armenia","","7004538; 7593985; 7006651; 7002470; 7727672","7235209",1
"58","Sicily","","","7594681; 7003122; 7030363; 7594736",1
"59","Syria","7532324","7002858; 7002280; 8711750; 7001407; 7441487; 6004687; 7594765; 1000140; 7879433","7011190",1
"60","Sicily","","","7594681; 7003122; 7030363; 7594736",1
"61","Persia","","7000231; 7024079","",1
"62","Cyprus","","1006894; 1000112; 7880092; 7872704; 7872271; 1000113","",1
